iso3_country,emissions_quantity_sum_norm,emissions_change_norm,distance
AFG,-0.20526955420959192,0.07300877045481675,6.4122196191992815
AGO,-0.192720152410293,0.05956968934645443,6.397244641733271
AIA,-0.20542840739692483,0.07300063541782621,6.412373635322064
AND,-0.2053641463988128,0.07301690549180728,6.412313927063688
ARE,0.12336221831121603,0.09103194490734502,6.094404202433018
ARG,0.014061971842454134,0.07762133642844958,6.198431732406019
ARM,-0.19921565409945532,0.07351721026672513,6.4063899784866924
ASM,-0.205298857224731,0.07304131060277888,6.412254838710196
ATG,-0.20479093829565365,0.07300063541782621,6.411749048416555
AUS,0.4116833237603503,-0.02406255843473128,5.788387087988383
AUT,-0.15621168007491085,0.06337281913952912,6.362225742441408
AZE,-0.15197559507936692,0.08021234570993468,6.361468114605359
BDI,-0.20545205544423004,0.07335450952691444,6.412467593377184
BEL,-0.1361596782240381,0.05591299021920936,6.34108751468632
BEN,-0.20515594076492988,0.07274844927111966,6.41205623712667
BES,-0.19650486815509816,0.07356602048866834,6.403743918634677
BFA,-0.2012663510712059,0.0742371610403874,6.408543323733465
BGD,-0.0598577113297877,0.12588244337479307,6.280842747129111
BGR,-0.12747107719130896,0.06593942331004263,6.334585156767081
BHR,-0.12914906037400986,0.0808387435582058,6.339244818224087
BHS,-0.1997112349168952,0.07352534530371567,6.406877148269186
BIH,-0.16794933694605885,0.07528251329367103,6.376115708186298
BLR,-0.1508939539591455,0.08015946796949622,6.36039821902028
BLZ,-0.20386917853873493,0.07413140555951045,6.4110722365231085
BMU,-0.20402700355009804,0.07248812808742257,6.410898045455282
BOL,-0.18788772535226955,0.07388328693129917,6.395365421781297
BRA,0.1865991531573167,0.035327279114662845,6.020875445522439
BRB,-0.20282403766544113,0.07294775767738775,6.4098113314474485
BRN,-0.19504125966209893,0.07799554813001415,6.40319920684246
BWA,-0.19354474953806636,0.06905514247741718,6.3999411339345285
CAN,0.17193222294823068,-0.007475218011032271,6.026542973416002
CHE,-0.19035843220768026,0.0742371610403874,6.3978568837148195
CHL,-0.06704877406251449,0.08413750105786738,6.279136225276945
CHN,12.190958187725593,-14.600478783332647,14.720496451340919
CIV,-0.1890973743807301,0.07487169392564906,6.396748858120431
CMR,-0.20068954435215247,0.07247999305043203,6.40762640816209
COD,-0.20464339504398846,0.07348467011876299,6.411701328568893
COG,-0.20353347908459776,0.07300063541782621,6.410517007811087
COK,-0.20568647956534267,0.07299656789933094,6.41262567948464
COL,-0.14384426542226514,0.06255118040348517,6.349944218513313
COM,-0.20538316765425396,0.07322434893506591,6.412374058945271
CPV,-0.20468092346688588,0.0731755387131227,6.411676245938257
CRI,-0.20530296992861016,0.07276065182660546,6.412202736560295
CUB,-0.16496145757784264,0.07552656440338705,6.373238351864658
CYM,-0.20378178358130258,0.07317147119462743,6.410794472060112
CYP,-0.19354629180202104,0.07359856063663046,6.400851891157004
CZE,-0.04474146822190248,0.049872725253737794,6.250314943492135
DEU,0.8712229748430885,-0.3116849262720546,5.283007326949903
DJI,-0.20554304901755666,0.07261422116077584,6.41240868590716
DMA,-0.20556052800904312,0.07305758067675995,6.412514476005746
DNK,-0.151435802695226,0.08220949729111081,6.3613447810225185
DOM,-0.16681423067540824,0.07663699695259495,6.375277012819024
DZA,-0.0689884280295275,0.0926386147129755,6.282790730154097
ECU,-0.18469318261412512,0.06027337004613563,6.389517220837317
EGY,-0.10323954002323081,0.10552044578748623,6.318970405561373
ERI,-0.20455188738267696,0.07331383434196177,6.411577487958152
ESP,0.04640530332420798,-0.09721281105361382,6.132688834118495
EST,-0.1715227625290717,0.05852840461166607,6.37626278613404
ETH,-0.20558263379239367,0.07311045841719842,6.412546711635797
FIN,-0.11625110692095135,0.07167869190686442,6.324755510150296
FJI,-0.2037139239672963,0.07295589271437827,6.410684853297893
FLK,-0.20573788836383228,0.07300063541782621,6.412676863104909
FRA,-0.06331289667627445,0.06281556910567754,6.27111976262649
FRO,-0.20521711723513253,0.07339925223036238,6.412246356935957
FSM,-0.20526287106578828,0.07303317556578835,6.41221795259532
GAB,-0.20165500158778737,0.07336671208240025,6.4087497923881225
GBR,0.21554487714689216,-0.08958621387498811,5.967860101261746
GEO,-0.20028187258012986,0.07303724308428362,6.407338503709441
GHA,-0.18705850143263214,0.09203662197567598,6.398221276427003
GIB,-0.20525053295415077,0.07287860986296821,6.412174949165442
GIN,-0.20393909450468078,0.07468458807486678,6.411251521023267
GLP,-0.2020102363853506,0.07300063541782621,6.4090245695580235
GMB,-0.2048510865898865,0.07323248397205644,6.411854361490683
GNB,-0.20554304901755666,0.07307385075074102,6.412500604513913
GNQ,-0.2042578290553164,0.07300063541782621,6.411226714379
GRC,-0.11543010840907227,-0.003440239663727362,6.309161400922439
GRD,-0.20515079988508092,0.07304537812127415,6.412110587051203
GRL,-0.20549421065899154,0.07301690549180728,6.412441363134984
GTM,-0.16734168494791163,0.06858737785046147,6.374174657493182
GUF,-0.20432517458133778,0.07378159896891749,6.411448971948076
GUM,-0.20071627692736707,0.07313079600967476,6.407782842735241
GUY,-0.20191307375620524,0.0732975642679807,6.4089887999027075
HKG,-0.10187515051131654,0.059232085311347264,6.308163083931939
HND,-0.19019957902034737,0.07355381793318254,6.397564174804548
HRV,-0.19441612867246524,0.07347246756327719,6.401678800932343
HTI,-0.2026970579331718,0.07270777408616699,6.40963890622726
HUN,-0.1711521050919616,0.06896565707052131,6.37798355228477
IDN,0.540248503375109,0.22395031429568152,5.719674205450061
IMN,-0.20360288096255874,0.07286640730748241,6.410558153278446
IND,3.7915177661249113,0.8343221396954543,3.066355089512045
IOT,-0.20557595064859,0.07300063541782621,6.412518197330059
IRL,-0.16773239181643268,0.0707797703194104,6.374997377694627
IRN,0.42308682344131576,0.12104616388392055,5.808738408583377
IRQ,0.0572525598055159,0.15504248346736252,6.172841088668134
ISR,1.2752879055636723,-0.01628139555328542,4.948122230952734
ITA,0.152651867162687,-0.005526876651799356,6.0458248303915845
JAM,-0.19607149198383073,0.07227254960717341,6.403060268611597
JOR,-0.16534805174248451,0.0695839198818019,6.372421487141968
JPN,1.4949880327008889,-0.40219941534723214,4.652963853991434
KAZ,0.004051136512572188,0.10884360839811942,6.214773136920117
KEN,-0.2003960001127768,0.07307791826923629,6.407458463478144
KGZ,-0.20285436885655,0.07168682694385496,6.409588879064721
KHM,-0.19277670208863157,0.08121702277826565,6.401629687281698
KIR,-0.20569419088511612,0.07302097301030255,6.4126381161234445
KNA,-0.205155426676945,0.07304131060277888,6.4121143067296344
KOR,0.7555197625224456,0.06611432660533911,5.472608563418259
